number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--hidden_act,params_--learning_rate,params_--n_head,params_--n_layer,params_--per_device_train_batch_size,system_attrs_fail_reason,state
0,0.12784710215851364,2020-09-11 08:47:27.474246,2020-09-11 11:00:35.582485,0 days 02:13:08.108239000,128.0,0.2,swish,0.008958203808051941,2.0,1.0,128.0,,COMPLETE
1,0.13944976034484188,2020-09-11 08:47:27.516053,2020-09-11 10:41:24.007582,0 days 01:53:56.491529000,32.0,0.0,swish,0.0010836167096997893,8.0,4.0,64.0,,COMPLETE
2,0.21954319664757832,2020-09-11 08:47:27.543293,2020-09-11 11:00:02.535037,0 days 02:12:34.991744000,64.0,0.2,relu,0.003427863710923112,4.0,1.0,128.0,,COMPLETE
3,0.06665471637215674,2020-09-11 08:47:27.608541,2020-09-11 10:42:10.871225,0 days 01:54:43.262684000,128.0,0.1,gelu,0.048551710999832305,16.0,3.0,256.0,,COMPLETE
4,0.08542663600833592,2020-09-11 08:47:27.633208,2020-09-11 11:20:56.612756,0 days 02:33:28.979548000,64.0,0.1,swish,0.019826942050971328,1.0,3.0,128.0,,COMPLETE
5,0.052512059230458645,2020-09-11 10:41:24.085974,2020-09-11 12:09:38.411687,0 days 01:28:14.325713000,128.0,0.3,swish,0.024059448389346403,2.0,2.0,128.0,,COMPLETE
6,0.12243611571717472,2020-09-11 10:42:10.917744,2020-09-11 12:06:06.316918,0 days 01:23:55.399174000,32.0,0.2,gelu,0.019009555971946215,16.0,2.0,128.0,,COMPLETE
7,0.12736818409856424,2020-09-11 11:00:02.586742,2020-09-11 14:28:01.425491,0 days 03:27:58.838749000,32.0,0.3,gelu,0.0032285426064570014,1.0,4.0,128.0,,COMPLETE
8,0.15781097936047866,2020-09-11 11:00:35.817950,2020-09-11 14:02:19.220227,0 days 03:01:43.402277000,64.0,0.3,relu,0.0016498973678398924,1.0,1.0,256.0,,COMPLETE
9,0.1428000181093623,2020-09-11 11:20:56.826745,2020-09-11 12:59:56.540400,0 days 01:38:59.713655000,32.0,0.0,gelu,0.0010486396698214113,4.0,1.0,64.0,,COMPLETE
10,0.1697802335075854,2020-09-11 12:06:06.412053,2020-09-11 15:46:14.061052,0 days 03:40:07.648999000,128.0,0.0,gelu,0.00848181282055583,16.0,1.0,128.0,,COMPLETE
11,0.14792946106143107,2020-09-11 12:09:38.459623,2020-09-11 16:19:50.820711,0 days 04:10:12.361088000,32.0,0.1,relu,0.00995803990546942,16.0,1.0,64.0,,COMPLETE
12,0.1530543015990736,2020-09-11 12:59:56.583027,2020-09-11 16:18:01.369865,0 days 03:18:04.786838000,128.0,0.2,swish,0.002238539904518662,8.0,4.0,64.0,,COMPLETE
13,0.11490563524425704,2020-09-11 14:02:19.266266,2020-09-11 15:56:42.816298,0 days 01:54:23.550032000,32.0,0.3,gelu,0.004542531887032528,16.0,4.0,64.0,,COMPLETE
14,0.16328841271276565,2020-09-11 14:28:01.460486,2020-09-11 16:07:46.255092,0 days 01:39:44.794606000,64.0,0.2,relu,0.004328289701356768,4.0,2.0,128.0,,COMPLETE
15,0.18799613312744606,2020-09-11 15:46:14.106069,2020-09-11 16:59:44.472891,0 days 01:13:30.366822000,64.0,0.2,relu,0.004656088511278721,4.0,1.0,128.0,,COMPLETE
16,0.12668638734155943,2020-09-11 15:56:42.853762,2020-09-11 17:18:03.103994,0 days 01:21:20.250232000,64.0,0.2,relu,0.008590811121099124,4.0,2.0,128.0,,COMPLETE
17,0.2822940896039497,2020-09-11 16:07:46.312720,2020-09-11 17:33:34.192093,0 days 01:25:47.879373000,128.0,0.1,relu,0.0021967991539867332,4.0,1.0,128.0,,COMPLETE
18,0.14449796113751764,2020-09-11 16:18:01.414926,2020-09-11 17:32:44.271999,0 days 01:14:42.857073000,64.0,0.1,relu,0.008558733187889163,4.0,1.0,128.0,,COMPLETE
19,0.138205376381441,2020-09-11 16:19:50.873207,2020-09-11 17:34:13.423087,0 days 01:14:22.549880000,64.0,0.0,relu,0.0006154790556077133,4.0,1.0,128.0,,COMPLETE
20,0.13916257498006415,2020-09-11 16:59:44.516466,2020-09-11 18:25:08.521570,0 days 01:25:24.005104000,64.0,0.2,relu,0.0006094985164354489,4.0,2.0,128.0,,COMPLETE
21,0.11492030388252171,2020-09-11 17:18:03.139378,2020-09-11 18:24:32.411993,0 days 01:06:29.272615000,64.0,0.1,relu,0.0006303604078030191,4.0,1.0,256.0,,COMPLETE
22,0.11019506015897791,2020-09-11 17:32:44.308248,2020-09-11 18:42:28.551525,0 days 01:09:44.243277000,64.0,0.2,relu,0.0005273355942529304,4.0,2.0,256.0,,COMPLETE
23,0.157133214550613,2020-09-11 17:33:34.224947,2020-09-11 18:47:11.274709,0 days 01:13:37.049762000,128.0,0.1,relu,0.0005600508590810076,4.0,2.0,256.0,,COMPLETE
24,0.15009335822367859,2020-09-11 17:34:13.460467,2020-09-11 18:38:10.393855,0 days 01:03:56.933388000,128.0,0.1,relu,0.0005101702065694661,4.0,3.0,256.0,,COMPLETE
25,0.202737665104129,2020-09-11 18:24:32.451743,2020-09-11 19:48:33.885164,0 days 01:24:01.433421000,64.0,0.2,relu,0.0024378259286081177,4.0,2.0,128.0,,COMPLETE
26,0.21749727730484644,2020-09-11 18:25:08.572409,2020-09-11 19:41:24.510029,0 days 01:16:15.937620000,64.0,0.2,relu,0.00244256978188204,4.0,1.0,128.0,,COMPLETE
27,0.2163136434436929,2020-09-11 18:38:10.429432,2020-09-11 19:54:34.288397,0 days 01:16:23.858965000,64.0,0.2,relu,0.0023721230225644957,4.0,1.0,128.0,,COMPLETE
28,0.20910621120017905,2020-09-11 18:42:28.585924,2020-09-11 20:09:23.779607,0 days 01:26:55.193683000,64.0,0.2,relu,0.002179461182722203,4.0,1.0,128.0,,COMPLETE
