number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--learning_rate,params_--learning_rate_schedule,params_--n_head,params_--n_layer,params_--num_train_epochs,params_--per_device_train_batch_size,params_--weight_decay,system_attrs_fail_reason,state
0,,2020-09-23 10:14:52.278169,2020-09-23 10:16:03.424670,0 days 00:01:11.146501000,64.0,0.3,0.0003115015079443655,linear_with_warmup,8.0,4.0,4.0,192.0,2.645186006841592e-06,"Trial 0 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
1,0.26017459437903556,2020-09-23 10:14:52.311431,2020-09-23 19:15:50.619735,0 days 09:00:58.308304000,256.0,0.1,0.000699095365365845,constant_with_warmup,1.0,3.0,2.0,64.0,3.216769501515967e-05,,COMPLETE
2,0.26725954826004433,2020-09-23 10:14:52.317791,2020-09-23 18:12:43.379151,0 days 07:57:51.061360000,128.0,0.0,0.004198127577657512,linear_with_warmup,1.0,1.0,5.0,192.0,7.258799744663583e-05,,COMPLETE
3,0.10774060829776291,2020-09-23 10:14:52.360874,2020-09-23 15:48:32.762923,0 days 05:33:40.402049000,32.0,0.2,0.0004065367435868047,linear_with_warmup,1.0,3.0,2.0,192.0,2.0432168483276332e-05,,COMPLETE
4,0.2019672682080041,2020-09-23 10:14:52.363293,2020-09-23 18:26:34.276714,0 days 08:11:41.913421000,64.0,0.1,0.008595293190282564,cosine_with_warmup,16.0,1.0,2.0,64.0,2.0217890916689824e-05,,COMPLETE
5,0.2202109005388059,2020-09-23 10:16:03.444758,2020-09-23 16:38:58.806800,0 days 06:22:55.362042000,32.0,0.2,0.0029060266508500994,constant_with_warmup,4.0,3.0,4.0,256.0,1.0994443947712865e-06,,COMPLETE
6,0.15136168501595076,2020-09-23 15:48:32.930360,2020-09-24 06:00:52.304026,0 days 14:12:19.373666000,32.0,0.1,0.0003025070021987597,cosine_with_warmup,4.0,4.0,5.0,64.0,2.4323092572001474e-05,,COMPLETE
7,0.24170487711803454,2020-09-23 16:38:58.870376,2020-09-24 04:25:50.777780,0 days 11:46:51.907404000,32.0,0.0,0.005423150484667946,constant_with_warmup,16.0,4.0,5.0,128.0,2.411087400831542e-06,,COMPLETE
8,0.18347569720686913,2020-09-23 18:12:43.431368,2020-09-24 03:16:10.594060,0 days 09:03:27.162692000,32.0,0.2,0.0015091012730605129,cosine_with_warmup,16.0,2.0,2.0,64.0,1.695652058861463e-06,,COMPLETE
9,0.23830193851640133,2020-09-23 18:26:34.314528,2020-09-24 04:11:57.005207,0 days 09:45:22.690679000,256.0,0.3,0.00013110700119280062,constant_with_warmup,2.0,1.0,5.0,192.0,6.59748537030128e-05,,COMPLETE
10,0.2272890622354908,2020-09-23 19:15:50.681936,2020-09-24 05:26:29.699343,0 days 10:10:39.017407000,64.0,0.2,0.0006399500949397606,constant_with_warmup,1.0,1.0,3.0,64.0,3.1135835657738803e-06,,COMPLETE
11,0.2603779197148041,2020-09-24 03:16:10.791977,2020-09-24 13:26:32.313815,0 days 10:10:21.521838000,256.0,0.2,0.0002643154756529579,constant_with_warmup,16.0,2.0,3.0,64.0,2.729660097800304e-06,,COMPLETE
12,0.08848978481529933,2020-09-24 04:11:57.060641,2020-09-24 09:39:40.775354,0 days 05:27:43.714713000,32.0,0.1,0.00021119271736669433,cosine_with_warmup,8.0,4.0,1.0,64.0,5.004046638720212e-06,,COMPLETE
13,0.11006311029696936,2020-09-24 04:25:50.818131,2020-09-24 10:06:36.848773,0 days 05:40:46.030642000,64.0,0.1,0.00020258714942421885,cosine_with_warmup,8.0,2.0,1.0,64.0,2.5793341957287697e-05,,COMPLETE
14,0.22486049322446464,2020-09-24 05:26:29.747514,2020-09-24 14:54:02.637399,0 days 09:27:32.889885000,64.0,0.2,0.0011791755120814334,cosine_with_warmup,8.0,2.0,4.0,64.0,8.497293873631148e-05,,COMPLETE
15,0.2438998956118695,2020-09-24 06:00:52.343068,2020-09-24 12:24:26.385734,0 days 06:23:34.042666000,128.0,0.0,0.0027047593507107575,linear_with_warmup,8.0,2.0,4.0,256.0,8.555063106191803e-05,,COMPLETE
16,0.24216598195918207,2020-09-24 09:39:40.856173,2020-09-24 15:20:06.524005,0 days 05:40:25.667832000,128.0,0.0,0.0014953412427298099,linear_with_warmup,1.0,2.0,3.0,256.0,9.48778668573376e-05,,COMPLETE
17,0.2375701874476334,2020-09-24 10:06:36.937072,2020-09-24 15:47:22.035674,0 days 05:40:45.098602000,128.0,0.0,0.0013746623362820428,linear_with_warmup,1.0,3.0,3.0,256.0,8.867706707960873e-05,,COMPLETE
18,0.24059367617450902,2020-09-24 12:24:26.448188,2020-09-24 19:12:50.626767,0 days 06:48:24.178579000,128.0,0.0,0.000902548581525554,linear_with_warmup,1.0,3.0,3.0,128.0,4.9179115505634975e-05,,COMPLETE
19,0.15543682050403498,2020-09-24 13:26:32.360772,2020-09-24 20:37:13.715393,0 days 07:10:41.354621000,128.0,0.3,0.00010496595360540128,linear_with_warmup,16.0,1.0,4.0,128.0,4.425204473936086e-06,,COMPLETE
20,0.14700424924336372,2020-09-24 14:54:02.727919,2020-09-24 21:41:00.551773,0 days 06:46:57.823854000,128.0,0.3,0.00011207205102992373,linear_with_warmup,1.0,1.0,3.0,128.0,7.919847822507053e-06,,COMPLETE
21,0.1731107269605099,2020-09-24 15:20:06.763153,2020-09-24 22:48:09.128170,0 days 07:28:02.365017000,256.0,0.3,0.008342230511409749,linear_with_warmup,2.0,1.0,4.0,128.0,8.539302451008971e-06,,COMPLETE
22,0.2448573607974191,2020-09-24 15:47:22.202816,2020-09-24 23:18:41.730467,0 days 07:31:19.527651000,256.0,0.3,0.009901695568456275,linear_with_warmup,16.0,1.0,4.0,128.0,7.536987498529904e-06,,COMPLETE
23,0.21179265168438835,2020-09-24 19:12:50.727378,2020-09-25 01:47:28.722368,0 days 06:34:37.994990000,256.0,0.3,0.00010106470452911835,constant_with_warmup,16.0,1.0,4.0,192.0,8.590511953469244e-06,,COMPLETE
24,0.2177256532772168,2020-09-24 20:37:13.852002,2020-09-25 05:22:48.617663,0 days 08:45:34.765661000,256.0,0.3,0.00452785220944895,constant_with_warmup,2.0,1.0,5.0,192.0,1.0382633926696362e-05,,COMPLETE
25,0.3108831175049213,2020-09-24 21:41:00.643961,2020-09-25 06:30:44.822658,0 days 08:49:44.178697000,256.0,0.3,0.007093238914928893,constant_with_warmup,2.0,2.0,5.0,192.0,1.1770092270704609e-05,,COMPLETE
26,0.2519865864985335,2020-09-24 22:48:09.190407,2020-09-25 04:49:35.078979,0 days 06:01:25.888572000,256.0,0.1,0.0005803094321630315,constant_with_warmup,1.0,3.0,2.0,192.0,3.613258953860329e-05,,COMPLETE
27,0.22798601431730853,2020-09-24 23:18:41.777103,2020-09-25 03:06:15.138904,0 days 03:47:33.361801000,256.0,0.1,0.000660936848921406,constant_with_warmup,1.0,3.0,1.0,192.0,3.999081461577367e-05,,COMPLETE
28,0.2506880609978876,2020-09-25 01:47:28.808012,2020-09-25 07:34:20.857588,0 days 05:46:52.049576000,256.0,0.1,0.000533373325565452,constant_with_warmup,1.0,3.0,2.0,192.0,3.940172387884998e-05,,COMPLETE
29,0.24882879037417613,2020-09-25 03:06:15.199615,2020-09-25 08:48:37.893842,0 days 05:42:22.694227000,256.0,0.1,0.00044629977189640144,constant_with_warmup,1.0,2.0,2.0,192.0,1.3837264809142326e-05,,COMPLETE
30,0.2271471782601082,2020-09-25 04:49:35.134608,2020-09-25 11:08:03.657595,0 days 06:18:28.522987000,256.0,0.2,0.0025346903432209075,constant_with_warmup,2.0,2.0,2.0,192.0,1.614298005930059e-05,,COMPLETE
31,0.2505850104988656,2020-09-25 05:22:48.664595,2020-09-25 12:01:52.294910,0 days 06:39:03.630315000,256.0,0.2,0.00036204204112563293,constant_with_warmup,4.0,2.0,2.0,128.0,1.4657448960740232e-05,,COMPLETE
32,0.31128076539339367,2020-09-25 06:30:44.884855,2020-09-25 14:52:44.866980,0 days 08:21:59.982125000,256.0,0.2,0.005544151710761919,constant_with_warmup,2.0,2.0,5.0,192.0,1.3860347305738753e-05,,COMPLETE
33,0.3104388671745326,2020-09-25 07:34:20.910115,2020-09-25 16:11:18.754589,0 days 08:36:57.844474000,256.0,0.2,0.002488799242476618,constant_with_warmup,2.0,2.0,5.0,192.0,1.1075086926807904e-06,,COMPLETE
34,0.2972795437187158,2020-09-25 08:48:37.949285,2020-09-25 16:54:36.647890,0 days 08:05:58.698605000,256.0,0.2,0.0027101395991902303,constant_with_warmup,2.0,2.0,5.0,256.0,1.326335672140744e-06,,COMPLETE
35,0.3049152322690151,2020-09-25 11:08:03.770158,2020-09-25 19:18:09.770154,0 days 08:10:05.999996000,128.0,0.2,0.005250109533841759,constant_with_warmup,2.0,2.0,5.0,256.0,1.216496323553256e-06,,COMPLETE
36,0.43773837335352406,2020-09-25 12:01:52.437503,2020-09-25 20:25:25.968368,0 days 08:23:33.530865000,256.0,0.2,0.00489462795955267,constant_with_warmup,2.0,3.0,5.0,192.0,5.841787751796676e-05,,COMPLETE
37,0.35172814920144935,2020-09-25 14:52:44.988785,2020-09-25 23:16:36.052823,0 days 08:23:51.064038000,256.0,0.2,0.005428618423408886,constant_with_warmup,2.0,2.0,5.0,192.0,1.1309536235035986e-06,,COMPLETE
38,0.38626715797256334,2020-09-25 16:11:18.829586,2020-09-26 00:31:22.882505,0 days 08:20:04.052919000,256.0,0.2,0.005704500353680706,constant_with_warmup,2.0,2.0,5.0,192.0,5.253604246814591e-06,,COMPLETE
39,0.40076417586925794,2020-09-25 16:54:36.701294,2020-09-26 00:56:41.871711,0 days 08:02:05.170417000,256.0,0.2,0.005687030299408703,constant_with_warmup,2.0,2.0,5.0,256.0,1.001150000999653e-06,,COMPLETE
40,0.3322382809006558,2020-09-25 19:18:09.860811,2020-09-26 03:19:52.657013,0 days 08:01:42.796202000,256.0,0.2,0.006419789467936706,constant_with_warmup,2.0,2.0,5.0,256.0,1.0495996659234946e-06,,COMPLETE
41,0.30353457354631497,2020-09-25 20:25:26.028394,2020-09-26 04:57:13.151313,0 days 08:31:47.122919000,256.0,0.2,0.007010603371802971,constant_with_warmup,2.0,3.0,5.0,192.0,5.298065305455577e-06,,COMPLETE
42,0.1892452390304625,2020-09-25 23:16:36.141070,2020-09-26 07:45:45.021002,0 days 08:29:08.879932000,256.0,0.2,0.007165676225393153,constant_with_warmup,2.0,3.0,5.0,192.0,5.6456001083615016e-06,,COMPLETE
43,0.43449540783698165,2020-09-26 00:31:22.939178,2020-09-26 08:54:27.640802,0 days 08:23:04.701624000,256.0,0.2,0.0036511258643081293,constant_with_warmup,2.0,3.0,5.0,192.0,5.496122776675583e-06,,COMPLETE
44,0.28116904296330525,2020-09-26 00:56:41.911037,2020-09-26 08:59:21.948336,0 days 08:02:40.037299000,256.0,0.2,0.003825801229963037,constant_with_warmup,2.0,3.0,5.0,256.0,1.748828471620808e-06,,COMPLETE
45,0.2995036441486795,2020-09-26 03:19:52.744096,2020-09-26 11:26:22.395923,0 days 08:06:29.651827000,256.0,0.2,0.0038144893127209202,constant_with_warmup,2.0,3.0,5.0,256.0,2.2051866880459173e-06,,COMPLETE
46,0.41694567415546296,2020-09-26 04:57:13.211073,2020-09-26 12:42:49.169537,0 days 07:45:35.958464000,256.0,0.2,0.004030439198617997,constant_with_warmup,2.0,3.0,5.0,256.0,1.76436331092748e-06,,COMPLETE
47,0.31302105939131547,2020-09-26 07:45:45.114753,2020-09-26 15:23:16.957385,0 days 07:37:31.842632000,256.0,0.2,0.0033790359976642137,constant_with_warmup,2.0,2.0,5.0,256.0,1.8063508142236644e-06,,COMPLETE
48,0.34984877246069024,2020-09-26 08:54:27.696160,2020-09-26 16:41:54.787516,0 days 07:47:27.091356000,256.0,0.2,0.0036870481655549626,constant_with_warmup,2.0,4.0,5.0,256.0,1.542545942267366e-06,,COMPLETE
49,0.4651531785272403,2020-09-26 08:59:21.988304,2020-09-26 17:37:58.516151,0 days 08:38:36.527847000,256.0,0.2,0.0035947907305712403,constant_with_warmup,2.0,4.0,5.0,192.0,3.4021361994883917e-06,,COMPLETE
50,0.2387795895138307,2020-09-26 11:26:22.458314,2020-09-26 18:15:50.748202,0 days 06:49:28.289888000,256.0,0.2,0.001841660755866678,constant_with_warmup,2.0,4.0,4.0,192.0,3.556639035052816e-06,,COMPLETE
51,0.2111125677323918,2020-09-26 12:42:49.219802,2020-09-26 18:28:32.691943,0 days 05:45:43.472141000,32.0,0.2,0.0021369436456390375,constant_with_warmup,2.0,4.0,4.0,256.0,3.87134510847868e-06,,COMPLETE
52,0.20779703830344248,2020-09-26 15:23:17.072284,2020-09-26 21:16:14.592095,0 days 05:52:57.519811000,32.0,0.2,0.0019798190586874423,constant_with_warmup,4.0,4.0,4.0,256.0,3.345442310492621e-06,,COMPLETE
53,0.21014239348921682,2020-09-26 16:41:54.889649,2020-09-26 22:34:01.871476,0 days 05:52:06.981827000,32.0,0.2,0.00213010003638215,constant_with_warmup,4.0,4.0,4.0,256.0,3.1112292509522895e-06,,COMPLETE
54,0.18145539004121874,2020-09-26 17:37:58.557001,2020-09-26 23:31:41.826611,0 days 05:53:43.269610000,32.0,0.2,0.001920278930848805,cosine_with_warmup,4.0,4.0,4.0,256.0,3.5553389231343144e-06,,COMPLETE
55,0.17985922081391004,2020-09-26 18:15:50.790437,2020-09-27 00:27:26.764785,0 days 06:11:35.974348000,32.0,0.1,0.001812670264479497,cosine_with_warmup,4.0,4.0,4.0,256.0,3.7856384041906317e-06,,COMPLETE
56,0.24256693043476482,2020-09-26 18:28:32.723600,2020-09-27 02:37:05.242226,0 days 08:08:32.518626000,64.0,0.2,0.004525845246204635,constant_with_warmup,2.0,3.0,5.0,192.0,6.0898275257700685e-06,,COMPLETE
57,0.23195902744619476,2020-09-26 21:16:14.661108,2020-09-27 05:18:03.042715,0 days 08:01:48.381607000,64.0,0.2,0.004534504354498913,cosine_with_warmup,2.0,3.0,5.0,192.0,6.077418473890232e-06,,COMPLETE
58,0.23383311218979622,2020-09-26 22:34:01.987011,2020-09-27 06:32:12.950874,0 days 07:58:10.963863000,64.0,0.2,0.0047021977224922865,cosine_with_warmup,2.0,3.0,5.0,192.0,6.436955139240795e-06,,COMPLETE
59,0.24558555807340302,2020-09-26 23:31:41.882403,2020-09-27 07:45:40.750325,0 days 08:13:58.867922000,64.0,0.2,0.0044834796831424995,constant_with_warmup,2.0,3.0,5.0,192.0,2.4422615034630358e-06,,COMPLETE
60,0.311414969506647,2020-09-27 00:27:26.823972,2020-09-27 08:50:35.684005,0 days 08:23:08.860033000,64.0,0.2,0.009449210539089316,constant_with_warmup,2.0,3.0,5.0,192.0,6.338508390219492e-06,,COMPLETE
61,,2020-09-27 02:37:05.332341,2020-09-27 05:21:36.892511,0 days 02:44:31.560170000,256.0,0.2,0.009674957554844186,constant_with_warmup,2.0,3.0,5.0,192.0,2.425091312408692e-06,"Trial 61 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
62,,2020-09-27 05:18:03.097592,2020-09-27 13:40:06.623372,0 days 08:22:03.525780000,256.0,0.2,0.009287429876980108,constant_with_warmup,2.0,3.0,5.0,192.0,2.283026279862064e-06,"Trial 62 failed because of the following error: UnboundLocalError(""local variable 'parser' referenced before assignment"")",FAIL
63,,2020-09-27 05:21:36.904652,,,,,,,,,,,,,RUNNING
64,,2020-09-27 06:32:13.005117,2020-09-27 13:40:06.653845,0 days 07:07:53.648728000,256.0,0.2,0.0031417290909720504,constant_with_warmup,8.0,3.0,5.0,128.0,2.8049863941809036e-06,"Trial 64 failed because of the following error: UnboundLocalError(""local variable 'parser' referenced before assignment"")",FAIL
65,,2020-09-27 07:45:40.794622,,,,,,,,,,,,,RUNNING
66,,2020-09-27 08:50:35.727000,,,,,,,,,,,,,RUNNING
67,,2020-09-27 13:40:06.684029,,,,,,,,,,,,,RUNNING
68,0.28557754277834413,2020-09-27 15:42:14.659030,2020-09-28 05:17:17.533060,0 days 13:35:02.874030000,256.0,0.3,0.0032177334495610012,constant_with_warmup,8.0,3.0,5.0,128.0,4.6675399364654054e-06,,COMPLETE
69,0.16922313512155848,2020-09-27 15:42:14.676483,2020-09-28 01:49:23.312080,0 days 10:07:08.635597000,256.0,0.3,0.008404678219220077,constant_with_warmup,8.0,3.0,5.0,128.0,2.14356880774464e-06,,COMPLETE
70,0.28542035013139444,2020-09-27 15:42:14.696894,2020-09-28 03:58:57.023350,0 days 12:16:42.326456000,256.0,0.3,0.003140846530451539,constant_with_warmup,8.0,3.0,5.0,128.0,2.08251011819892e-06,,COMPLETE
71,0.33585658547901837,2020-09-27 15:42:14.715499,2020-09-28 01:54:48.571368,0 days 10:12:33.855869000,256.0,0.3,0.003285784826635957,constant_with_warmup,8.0,3.0,5.0,128.0,4.555069608688968e-06,,COMPLETE
72,0.2644672746169437,2020-09-27 15:42:14.735831,2020-09-28 06:40:01.752519,0 days 14:57:47.016688000,256.0,0.3,0.0031237219017103135,constant_with_warmup,8.0,3.0,5.0,128.0,4.627138585991238e-06,,COMPLETE
