number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--learning_rate,params_--learning_rate_schedule,params_--n_layer,params_--num_train_epochs,params_--per_device_train_batch_size,params_--weight_decay,system_attrs_fail_reason,state
0,0.07229628842406709,2020-09-23 10:15:02.387909,2020-09-23 18:53:10.365708,0 days 08:38:07.977799000,32.0,0.3,0.000116200136389004,cosine_with_warmup,4.0,5.0,192.0,3.435579560934281e-06,,COMPLETE
1,0.1591888277091456,2020-09-23 10:15:02.399549,2020-09-23 15:48:55.636149,0 days 05:33:53.236600000,128.0,0.2,0.0007897472357783797,cosine_with_warmup,2.0,2.0,192.0,1.462836141216612e-05,,COMPLETE
2,0.22790960626310378,2020-09-23 10:15:02.419344,2020-09-23 16:36:04.392464,0 days 06:21:01.973120000,256.0,0.1,0.0006975615507864727,constant_with_warmup,2.0,4.0,256.0,2.0874700555899675e-05,,COMPLETE
3,0.16868006947701125,2020-09-23 10:15:02.438411,2020-09-23 16:39:46.359948,0 days 06:24:43.921537000,256.0,0.3,0.00033128003570479094,linear_with_warmup,2.0,2.0,128.0,1.329690483743149e-06,,COMPLETE
4,0.09283920649381071,2020-09-23 10:15:02.453914,2020-09-23 15:25:21.417972,0 days 05:10:18.964058000,128.0,0.2,0.00017373416494538202,linear_with_warmup,4.0,1.0,64.0,5.8834294371271966e-05,,COMPLETE
5,0.17991029413463547,2020-09-23 15:25:21.514873,2020-09-23 23:05:34.929787,0 days 07:40:13.414914000,32.0,0.0,0.004962294785874929,linear_with_warmup,3.0,3.0,192.0,6.189452157062219e-06,,COMPLETE
6,0.09765647690364641,2020-09-23 15:48:55.688896,2020-09-23 23:43:07.167535,0 days 07:54:11.478639000,128.0,0.1,0.004134740680274474,cosine_with_warmup,4.0,2.0,256.0,2.2322103170836363e-05,,COMPLETE
7,0.10230377761690722,2020-09-23 16:36:04.464870,2020-09-24 01:09:25.898049,0 days 08:33:21.433179000,128.0,0.2,0.003564606289285442,linear_with_warmup,4.0,3.0,128.0,2.250043234130944e-06,,COMPLETE
8,0.14323567240136767,2020-09-23 16:39:46.420108,2020-09-24 01:34:30.311314,0 days 08:54:43.891206000,256.0,0.3,0.0001587700935064471,cosine_with_warmup,2.0,4.0,192.0,2.3828718042445125e-06,,COMPLETE
9,0.07383765129620516,2020-09-23 18:53:10.463317,2020-09-24 00:14:59.442579,0 days 05:21:48.979262000,32.0,0.0,0.00044872747132420693,linear_with_warmup,4.0,1.0,192.0,9.219715077395071e-05,,COMPLETE
10,0.1450685475917676,2020-09-23 23:05:35.024116,2020-09-24 05:23:22.026429,0 days 06:17:47.002313000,128.0,0.1,0.007310111797987596,constant_with_warmup,2.0,4.0,256.0,1.476115008130519e-06,,COMPLETE
11,0.12503298750532407,2020-09-23 23:43:07.223734,2020-09-24 05:45:20.715317,0 days 06:02:13.491583000,32.0,0.2,0.0018051818469068575,constant_with_warmup,4.0,4.0,256.0,2.841114256527787e-06,,COMPLETE
12,0.1816097065116658,2020-09-24 00:14:59.487753,2020-09-24 07:58:16.565621,0 days 07:43:17.077868000,64.0,0.3,0.0035369627815349334,linear_with_warmup,3.0,5.0,256.0,1.3109865478315319e-06,,COMPLETE
13,0.10370333631402247,2020-09-24 01:09:25.943943,2020-09-24 04:58:01.811407,0 days 03:48:35.867464000,32.0,0.0,0.0007308343139820534,constant_with_warmup,2.0,1.0,192.0,4.001652362213267e-05,,COMPLETE
14,0.23939939460352613,2020-09-24 01:34:30.348116,2020-09-24 09:43:33.172419,0 days 08:09:02.824303000,64.0,0.1,0.0016325994855553815,constant_with_warmup,1.0,5.0,256.0,3.4425122132471606e-05,,COMPLETE
15,,2020-09-24 04:58:01.874883,2020-09-24 11:17:45.295409,0 days 06:19:43.420526000,64.0,0.1,0.008668059563013286,constant_with_warmup,1.0,4.0,256.0,6.938379564642981e-06,"Trial 15 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
16,0.19847044654375876,2020-09-24 05:23:22.080551,2020-09-24 11:31:06.603755,0 days 06:07:44.523204000,64.0,0.0,0.0018134014683119828,constant_with_warmup,3.0,4.0,256.0,5.8824882033002364e-06,,COMPLETE
17,0.24621042465193652,2020-09-24 05:45:20.752975,2020-09-24 13:07:10.388213,0 days 07:21:49.635238000,64.0,0.0,0.002197240591353136,constant_with_warmup,1.0,5.0,256.0,6.076373080211076e-06,,COMPLETE
18,0.23933821625659385,2020-09-24 07:58:16.638788,2020-09-24 15:18:57.396770,0 days 07:20:40.757982000,64.0,0.1,0.0016718737697774958,constant_with_warmup,1.0,5.0,256.0,7.706181684756914e-06,,COMPLETE
19,0.23976047352560612,2020-09-24 09:43:33.226391,2020-09-24 17:35:44.867065,0 days 07:52:11.640674000,64.0,0.1,0.0016444333581121851,constant_with_warmup,1.0,5.0,256.0,2.9377471422490166e-05,,COMPLETE
20,0.23444298243061648,2020-09-24 11:17:45.453422,2020-09-24 19:20:03.976861,0 days 08:02:18.523439000,64.0,0.1,0.0014094428324263354,constant_with_warmup,1.0,5.0,256.0,2.4996897088008264e-05,,COMPLETE
21,0.2718788431167765,2020-09-24 11:31:06.687872,2020-09-24 19:29:33.241110,0 days 07:58:26.553238000,256.0,0.1,0.0015199775986919997,constant_with_warmup,1.0,5.0,256.0,2.710526508489419e-05,,COMPLETE
22,0.26587080207588965,2020-09-24 13:07:10.526682,2020-09-25 01:13:47.273409,0 days 12:06:36.746727000,64.0,0.1,0.0017938535634534414,constant_with_warmup,1.0,5.0,64.0,9.586289687410264e-06,,COMPLETE
23,0.2666834431647279,2020-09-24 15:18:57.531680,2020-09-25 03:39:52.407864,0 days 12:20:54.876184000,64.0,0.1,0.0020584288964087634,constant_with_warmup,1.0,5.0,64.0,3.6402051187029456e-05,,COMPLETE
