number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--learning_rate,params_--learning_rate_schedule,params_--n_head,params_--n_layer,params_--num_train_epochs,params_--per_device_train_batch_size,params_--weight_decay,system_attrs_fail_reason,state
0,,2020-10-12 12:57:15.709082,,,192.0,0.0,0.009607782761996725,,1.0,1.0,4.0,,4.868693317844493e-06,,RUNNING
1,,2020-10-12 12:57:15.967427,,,,,,,,,,,,,RUNNING
2,,2020-10-12 12:57:16.748391,,,,,,constant_with_warmup,,,,256.0,,,RUNNING
3,,2020-10-12 12:57:16.912103,,,,,,,,,,,,,RUNNING
4,,2020-10-12 12:57:17.006729,,,,,,,,,,,,,RUNNING
5,0.22708240684390027,2020-10-12 13:00:49.704706,2020-10-12 20:39:25.814483,0 days 07:38:36.109777000,64.0,0.3,0.0007018122960711639,linear_with_warmup,1.0,4.0,10.0,128.0,5.939845437764084e-06,,COMPLETE
6,0.11077735762581783,2020-10-12 13:00:49.830240,2020-10-12 21:09:12.799306,0 days 08:08:22.969066000,320.0,0.3,0.006669091443530085,constant_with_warmup,2.0,4.0,10.0,192.0,4.614397851949837e-06,,COMPLETE
7,0.35458364489412386,2020-10-12 13:00:50.030005,2020-10-12 23:02:10.443230,0 days 10:01:20.413225000,128.0,0.0,0.003869115417663078,cosine_with_warmup,4.0,4.0,10.0,64.0,3.015050955199574e-06,,COMPLETE
8,0.07285508717635751,2020-10-12 13:00:50.153319,2020-10-12 19:22:09.880182,0 days 06:21:19.726863000,256.0,0.3,0.007111805806148979,constant_with_warmup,4.0,4.0,4.0,64.0,1.2223325117418284e-05,,COMPLETE
9,0.09249469906806419,2020-10-12 13:00:50.322000,2020-10-12 17:05:55.591497,0 days 04:05:05.269497000,64.0,0.0,0.0001269500551354851,cosine_with_warmup,8.0,1.0,3.0,192.0,2.1559312634680007e-05,,COMPLETE
10,0.12686171721571265,2020-10-12 17:05:58.144048,2020-10-12 21:04:42.712240,0 days 03:58:44.568192000,32.0,0.3,0.00014310316836085317,constant_with_warmup,1.0,1.0,4.0,64.0,1.1254603483901981e-05,,COMPLETE
11,0.16363085454891868,2020-10-12 19:22:10.707772,2020-10-12 21:10:36.594023,0 days 01:48:25.886251000,288.0,0.3,0.00016083871214842604,linear_with_warmup,8.0,2.0,2.0,192.0,3.5530715410210745e-06,,COMPLETE
12,0.21857742234442443,2020-10-12 20:39:27.110362,2020-10-12 22:28:58.587979,0 days 01:49:31.477617000,320.0,0.0,0.00014735005386348407,constant_with_warmup,1.0,3.0,3.0,256.0,6.998375326256299e-05,,COMPLETE
13,0.1929467418809218,2020-10-12 21:04:46.305578,2020-10-13 01:37:20.921464,0 days 04:32:34.615886000,64.0,0.2,0.0004976763647388245,cosine_with_warmup,1.0,4.0,5.0,64.0,1.6800170983915342e-06,,COMPLETE
14,0.311010046824335,2020-10-12 21:09:13.597368,2020-10-13 00:40:20.216412,0 days 03:31:06.619044000,288.0,0.3,0.0033327050840169224,constant_with_warmup,8.0,3.0,7.0,192.0,3.178176235453434e-06,,COMPLETE
