number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--learning_rate,params_--learning_rate_schedule,params_--n_layer,params_--num_train_epochs,params_--per_device_train_batch_size,params_--weight_decay,system_attrs_fail_reason,state
0,0.1803282588419207,2020-10-06 03:09:22.789423,2020-10-06 05:15:28.747426,0 days 02:06:05.958003000,192.0,0.0,0.0001394815205750684,constant_with_warmup,3.0,3.0,192.0,3.377914208902549e-05,,COMPLETE
1,,2020-10-06 03:09:23.133850,2020-10-06 09:18:04.251489,0 days 06:08:41.117639000,128.0,0.2,0.0009985445526816442,cosine_with_warmup,3.0,10.0,64.0,6.500280412709172e-06,"Trial 1 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
2,0.21602078267465788,2020-10-06 03:09:23.222095,2020-10-06 05:52:40.422522,0 days 02:43:17.200427000,128.0,0.2,0.0006602328777210343,linear_with_warmup,3.0,5.0,192.0,2.175460990219653e-06,,COMPLETE
3,0.18302059802893958,2020-10-06 03:09:23.315372,2020-10-06 06:18:03.135391,0 days 03:08:39.820019000,192.0,0.1,0.00012400668482110831,linear_with_warmup,2.0,6.0,192.0,3.466462995944887e-06,,COMPLETE
4,,2020-10-06 03:09:23.767754,2020-10-06 06:39:54.871971,0 days 03:30:31.104217000,320.0,0.2,0.0011152695792075314,cosine_with_warmup,1.0,8.0,64.0,8.12855552073872e-06,"Trial 4 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
5,0.15876169544998114,2020-10-06 05:15:29.335775,2020-10-06 07:27:26.155545,0 days 02:11:56.819770000,128.0,0.0,0.0002720767898647538,linear_with_warmup,3.0,4.0,256.0,1.446888907498163e-05,,COMPLETE
6,0.10169012257273713,2020-10-06 05:52:41.003596,2020-10-06 07:18:07.209455,0 days 01:25:26.205859000,64.0,0.3,0.000213666737664151,cosine_with_warmup,2.0,2.0,192.0,5.19176463917933e-06,,COMPLETE
7,0.17735911502962573,2020-10-06 06:18:04.120397,2020-10-06 07:32:54.281377,0 days 01:14:50.160980000,256.0,0.2,0.0006094068913957327,linear_with_warmup,2.0,1.0,192.0,1.8705536882442493e-05,,COMPLETE
8,,2020-10-06 06:39:55.242886,2020-10-06 06:40:35.175296,0 days 00:00:39.932410000,192.0,0.0,0.0003558807506958683,cosine_with_warmup,2.0,8.0,256.0,5.009802143095546e-05,"Trial 8 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
9,,2020-10-06 06:40:38.121389,2020-10-06 06:41:15.565802,0 days 00:00:37.444413000,192.0,0.2,0.00021726531549637231,cosine_with_warmup,2.0,7.0,64.0,1.448108200357918e-06,"Trial 9 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
10,,2020-10-06 06:41:16.434478,2020-10-06 06:41:57.769463,0 days 00:00:41.334985000,128.0,0.3,0.00015143597127532945,cosine_with_warmup,3.0,10.0,192.0,2.142749477763517e-05,"Trial 10 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
11,,2020-10-06 06:41:58.743090,2020-10-06 06:42:38.891141,0 days 00:00:40.148051000,192.0,0.2,0.0002538023104383513,cosine_with_warmup,3.0,5.0,192.0,9.02544061288103e-05,"Trial 11 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
12,0.18555429294257372,2020-10-06 06:42:39.883483,2020-10-06 11:36:13.827800,0 days 04:53:33.944317000,256.0,0.2,0.0030420094674755535,constant_with_warmup,1.0,7.0,64.0,5.5491891113478215e-05,,COMPLETE
13,0.22197824062923965,2020-10-06 07:18:09.225027,2020-10-06 10:21:58.751840,0 days 03:03:49.526813000,256.0,0.2,0.0013607708695356224,cosine_with_warmup,3.0,5.0,192.0,1.6470069332862774e-05,,COMPLETE
14,,2020-10-06 07:27:26.769159,2020-10-06 11:58:53.398394,0 days 04:31:26.629235000,256.0,0.3,0.006314201485032137,linear_with_warmup,1.0,10.0,64.0,1.646200919647076e-06,"Trial 14 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
15,0.23285858988136812,2020-10-06 07:32:54.954983,2020-10-06 10:14:55.066429,0 days 02:42:00.111446000,64.0,0.3,0.004583315782680164,linear_with_warmup,2.0,6.0,256.0,1.4110957159691926e-06,,COMPLETE
16,,2020-10-06 09:18:04.409585,2020-10-06 09:18:43.712775,0 days 00:00:39.303190000,64.0,0.0,0.00022460710743134327,linear_with_warmup,1.0,1.0,64.0,4.228421807203208e-05,"Trial 16 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
17,,2020-10-06 09:18:43.995192,2020-10-06 09:19:26.683229,0 days 00:00:42.688037000,128.0,0.2,0.0001740433828464356,constant_with_warmup,1.0,9.0,128.0,5.841369152421153e-05,"Trial 17 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
18,,2020-10-06 09:19:27.141727,2020-10-06 09:20:05.713354,0 days 00:00:38.571627000,256.0,0.2,0.0007282513535457703,cosine_with_warmup,1.0,6.0,256.0,1.189022744425094e-05,"Trial 18 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
19,,2020-10-06 09:20:07.804567,,,,,,,,,,,,RUNNING
20,,2020-10-06 10:14:55.640685,,,,,,,,,,,,RUNNING
21,,2020-10-06 10:21:59.813177,,,,,,,,,,,,RUNNING
22,,2020-10-06 11:36:14.348471,,,,,,,,,,,,RUNNING
23,,2020-10-06 11:58:54.612634,2020-10-06 11:59:40.036155,0 days 00:00:45.423521000,192.0,0.1,0.0024722928898120032,linear_with_warmup,4.0,8.0,192.0,8.014808662293123e-05,"Trial 23 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
24,,2020-10-06 11:59:40.503133,2020-10-06 12:00:21.119163,0 days 00:00:40.616030000,320.0,0.0,0.0021124596983245585,constant_with_warmup,1.0,8.0,192.0,5.504155686327943e-06,"Trial 24 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
25,,2020-10-06 12:00:21.527789,,,,,,,,,,,,RUNNING
26,0.24093160015081613,2020-10-06 12:46:47.304662,2020-10-06 16:27:36.167777,0 days 03:40:48.863115000,64.0,0.0,0.0019480362791209997,linear_with_warmup,3.0,9.0,256.0,2.51834659612757e-05,,COMPLETE
27,0.17613492326890487,2020-10-06 12:46:47.466893,2020-10-06 14:17:17.406092,0 days 01:30:29.939199000,128.0,0.1,0.00257603929569196,linear_with_warmup,4.0,2.0,256.0,2.0195498049158198e-06,,COMPLETE
28,0.2352068648044859,2020-10-06 12:47:03.729141,2020-10-06 15:21:29.404270,0 days 02:34:25.675129000,192.0,0.0,0.0012508950681646045,constant_with_warmup,2.0,3.0,64.0,4.504730112848893e-05,,COMPLETE
29,0.11747925144145045,2020-10-06 12:47:03.835572,2020-10-06 13:57:06.476611,0 days 01:10:02.641039000,64.0,0.1,0.0011074917075989542,cosine_with_warmup,4.0,1.0,192.0,4.746839284955506e-06,,COMPLETE
30,0.16263947768391668,2020-10-06 12:47:04.025757,2020-10-06 14:14:26.710250,0 days 01:27:22.684493000,64.0,0.2,0.0054936389769551465,constant_with_warmup,3.0,2.0,256.0,5.735330633481146e-06,,COMPLETE
31,,2020-10-06 13:57:07.239629,,,,,,,,,,,,RUNNING
32,,2020-10-06 14:14:27.535020,,,,,,,,,,,,RUNNING
33,,2020-10-06 14:17:18.065639,,,,,,,,,,,,RUNNING
34,,2020-10-06 15:21:29.806706,2020-10-06 15:46:53.245512,0 days 00:25:23.438806000,192.0,0.3,0.008517469562345337,constant_with_warmup,1.0,10.0,64.0,8.679869961166459e-05,"Trial 34 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
35,,2020-10-06 15:46:53.353180,2020-10-06 15:47:43.483429,0 days 00:00:50.130249000,192.0,0.3,0.008160819703391007,constant_with_warmup,1.0,9.0,64.0,9.485502392236168e-05,"Trial 35 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
36,,2020-10-06 15:47:43.659744,,,,,,,,,,,,RUNNING
37,,2020-10-06 16:27:36.516176,,,,,,,,,,,,RUNNING
38,,2020-10-06 20:31:31.768979,2020-10-06 22:37:42.545288,0 days 02:06:10.776309000,192.0,0.0,0.001618910834025678,constant_with_warmup,1.0,10.0,64.0,9.90329955113397e-05,"Trial 38 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
