number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--learning_rate,params_--learning_rate_schedule,params_--n_layer,params_--num_train_epochs,params_--per_device_train_batch_size,params_--weight_decay,system_attrs_fail_reason,state
0,0.1125204639732847,2020-10-12 13:01:40.594346,2020-10-12 18:26:34.296912,0 days 05:24:53.702566000,64.0,0.1,0.006083632793274997,constant_with_warmup,3.0,2.0,128.0,3.6251441422701333e-06,,COMPLETE
1,0.20494783228428218,2020-10-12 13:01:40.896576,2020-10-12 18:28:44.220641,0 days 05:27:03.324065000,96.0,0.3,0.0013829948888298034,constant_with_warmup,2.0,5.0,64.0,4.543431930533869e-06,,COMPLETE
2,0.1952321778645532,2020-10-12 13:01:41.044199,2020-10-12 21:02:57.307755,0 days 08:01:16.263556000,32.0,0.1,0.001754872937198439,constant_with_warmup,2.0,8.0,64.0,6.60039604854662e-05,,COMPLETE
3,0.12388360573589208,2020-10-12 13:01:41.310466,2020-10-12 20:14:17.232469,0 days 07:12:35.922003000,192.0,0.2,0.002204150776014465,constant_with_warmup,3.0,6.0,192.0,6.341991232620521e-06,,COMPLETE
4,0.1305781351007655,2020-10-12 13:01:41.311812,2020-10-12 18:43:10.514604,0 days 05:41:29.202792000,288.0,0.0,0.00022611704805556855,cosine_with_warmup,1.0,2.0,256.0,1.2681537955808528e-06,,COMPLETE
5,0.21749422130972065,2020-10-12 18:26:35.386582,2020-10-12 22:15:56.171248,0 days 03:49:20.784666000,64.0,0.3,0.0006547858797096673,constant_with_warmup,1.0,8.0,128.0,5.041443312284756e-05,,COMPLETE
6,0.14238215272489432,2020-10-12 18:28:45.253808,2020-10-12 22:53:04.652855,0 days 04:24:19.399047000,96.0,0.2,0.00020577002798061663,linear_with_warmup,2.0,6.0,64.0,1.6544349015630205e-05,,COMPLETE
7,0.13710978314168018,2020-10-12 18:43:11.616642,2020-10-12 22:06:27.313651,0 days 03:23:15.697009000,224.0,0.0,0.00433675432646696,cosine_with_warmup,3.0,5.0,256.0,8.245919365746195e-05,,COMPLETE
8,0.15749015648475664,2020-10-12 20:14:17.921570,2020-10-12 22:55:56.940127,0 days 02:41:39.018557000,256.0,0.2,0.00042751596629491377,linear_with_warmup,3.0,5.0,256.0,7.544632772869104e-06,,COMPLETE
9,0.19578530384262183,2020-10-12 21:02:57.819196,2020-10-12 23:01:04.622006,0 days 01:58:06.802810000,96.0,0.0,0.005397256265420077,constant_with_warmup,1.0,5.0,256.0,6.259577498250893e-06,,COMPLETE
10,0.14288458714434613,2020-10-12 22:06:28.317533,2020-10-13 01:48:11.988927,0 days 03:41:43.671394000,160.0,0.1,0.00017870478403714273,constant_with_warmup,4.0,8.0,192.0,1.3437651962962092e-05,,COMPLETE
11,0.1304400829904127,2020-10-12 22:15:58.205629,2020-10-13 00:34:27.206611,0 days 02:18:29.000982000,224.0,0.1,0.00011998144166361974,linear_with_warmup,2.0,3.0,64.0,7.337822195526953e-06,,COMPLETE
12,0.2217898815313544,2020-10-12 22:53:05.051583,2020-10-13 03:00:52.132529,0 days 04:07:47.080946000,320.0,0.1,0.0003122003046442588,constant_with_warmup,2.0,8.0,192.0,5.229232781981611e-05,,COMPLETE
13,0.06580326683578448,2020-10-12 22:55:59.014409,2020-10-13 06:46:40.969583,0 days 07:50:41.955174000,256.0,0.3,0.008916554996198582,linear_with_warmup,4.0,10.0,64.0,9.717346941250896e-05,,COMPLETE
14,0.1601200004027417,2020-10-12 23:01:05.172445,2020-10-13 04:10:56.232969,0 days 05:09:51.060524000,160.0,0.3,0.0006071806895783718,constant_with_warmup,4.0,10.0,128.0,2.3072588039874405e-05,,COMPLETE
15,0.22295911104149077,2020-10-13 00:34:27.910105,2020-10-13 04:31:55.126595,0 days 03:57:27.216490000,128.0,0.3,0.0007413429649833745,constant_with_warmup,1.0,10.0,128.0,2.7203280420939863e-05,,COMPLETE
16,0.22346643671021246,2020-10-13 01:48:12.585475,2020-10-13 06:07:10.093654,0 days 04:18:57.508179000,128.0,0.3,0.0006919174408259983,constant_with_warmup,1.0,10.0,128.0,3.6674132976801786e-05,,COMPLETE
17,0.2051572894686729,2020-10-13 03:00:54.341637,2020-10-13 08:58:43.496520,0 days 05:57:49.154883000,320.0,0.3,0.0006299670363045023,constant_with_warmup,1.0,10.0,128.0,3.72322676766605e-05,,COMPLETE
18,0.20771849718830193,2020-10-13 04:10:56.982118,2020-10-13 09:43:48.842846,0 days 05:32:51.860728000,320.0,0.3,0.00056836351213859,constant_with_warmup,1.0,10.0,128.0,4.02860234014527e-05,,COMPLETE
19,0.21892121147363966,2020-10-13 04:31:56.053383,2020-10-13 09:17:13.762483,0 days 04:45:17.709100000,320.0,0.2,0.000392923357088682,cosine_with_warmup,1.0,10.0,192.0,3.319333442705743e-05,,COMPLETE
20,0.22255468347709173,2020-10-13 06:07:11.572403,2020-10-13 10:17:19.311915,0 days 04:10:07.739512000,128.0,0.3,0.0009305988038405774,cosine_with_warmup,1.0,10.0,128.0,2.4677064534712715e-05,,COMPLETE
21,0.2217664398167846,2020-10-13 06:46:42.371800,2020-10-13 12:51:42.769590,0 days 06:05:00.397790000,128.0,0.3,0.0009948042973860198,cosine_with_warmup,1.0,10.0,128.0,2.954152080508763e-05,,COMPLETE
22,0.22098367798551105,2020-10-13 08:58:44.941827,2020-10-13 12:52:51.622165,0 days 03:54:06.680338000,128.0,0.2,0.0011201854867926065,cosine_with_warmup,1.0,9.0,128.0,3.061350436237384e-05,,COMPLETE
23,0.21458773973243334,2020-10-13 09:17:14.928571,2020-10-13 13:26:21.973433,0 days 04:09:07.044862000,160.0,0.3,0.001020361011272875,constant_with_warmup,1.0,9.0,128.0,2.3957940108945827e-05,,COMPLETE
24,0.20881541174802218,2020-10-13 09:43:50.556971,2020-10-13 13:32:49.152985,0 days 03:48:58.596014000,128.0,0.2,0.0025017465859545535,cosine_with_warmup,1.0,9.0,128.0,1.893627958171677e-05,,COMPLETE
25,,2020-10-13 10:17:21.720223,2020-10-13 12:18:13.884607,0 days 02:00:52.164384000,128.0,0.3,0.0009967798666528323,cosine_with_warmup,1.0,9.0,128.0,2.3605359217265825e-05,"Trial 25 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
26,0.222191754687208,2020-10-13 12:18:14.308178,2020-10-13 16:22:51.151220,0 days 04:04:36.843042000,128.0,0.3,0.001021362316394719,cosine_with_warmup,1.0,9.0,128.0,2.5643863988539466e-05,,COMPLETE
27,0.22202318884166625,2020-10-13 12:51:44.000240,2020-10-13 16:20:50.112791,0 days 03:29:06.112551000,128.0,0.2,0.0010760314131085962,cosine_with_warmup,1.0,9.0,128.0,2.069641543317389e-05,,COMPLETE
28,0.2070179187331793,2020-10-13 12:52:54.161009,2020-10-13 17:14:52.709240,0 days 04:21:58.548231000,128.0,0.3,0.0027855775926497427,cosine_with_warmup,1.0,9.0,128.0,1.9973221028768466e-05,,COMPLETE
29,0.16042232496611733,2020-10-13 13:26:23.999253,2020-10-13 17:23:37.273376,0 days 03:57:13.274123000,128.0,0.3,0.003349272867918307,cosine_with_warmup,2.0,9.0,192.0,1.4318710391136689e-05,,COMPLETE
30,0.20559492940110083,2020-10-13 13:32:50.051044,2020-10-13 16:53:34.944940,0 days 03:20:44.893896000,192.0,0.3,0.0009012457304071721,cosine_with_warmup,2.0,7.0,192.0,1.1798159135266475e-05,,COMPLETE
31,0.13779802720944131,2020-10-13 16:20:51.076978,2020-10-13 20:43:28.861247,0 days 04:22:37.784269000,192.0,0.3,0.00292157977552301,cosine_with_warmup,2.0,7.0,192.0,1.4172494756971682e-05,,COMPLETE
32,0.11148571426726754,2020-10-13 16:22:52.530842,2020-10-13 21:27:03.974532,0 days 05:04:11.443690000,192.0,0.3,0.0027288646657847087,constant_with_warmup,2.0,8.0,192.0,1.0444000283331681e-05,,COMPLETE
33,0.1600021885481206,2020-10-13 16:53:36.562424,2020-10-13 21:33:42.494342,0 days 04:40:05.931918000,64.0,0.3,0.0030387714631293266,constant_with_warmup,2.0,7.0,192.0,5.9910585637875116e-05,,COMPLETE
34,0.1890833615624375,2020-10-13 17:14:53.767209,2020-10-13 22:00:57.310998,0 days 04:46:03.543789000,64.0,0.3,0.001648232310143208,constant_with_warmup,2.0,7.0,192.0,2.289684609827916e-06,,COMPLETE
35,0.20950687805309062,2020-10-13 17:23:38.281680,2020-10-13 22:50:41.715793,0 days 05:27:03.434113000,64.0,0.2,0.001585279093263684,constant_with_warmup,2.0,7.0,64.0,2.017545985315388e-06,,COMPLETE
36,0.2206864353191174,2020-10-13 20:43:30.886653,2020-10-14 00:46:12.318860,0 days 04:02:41.432207000,64.0,0.3,0.0017237914951675796,cosine_with_warmup,1.0,10.0,128.0,5.226071709608628e-05,,COMPLETE
37,,2020-10-13 21:27:06.053327,2020-10-13 21:27:55.331176,0 days 00:00:49.277849000,64.0,0.3,0.0017684977636786736,cosine_with_warmup,1.0,10.0,128.0,4.7731259099889135e-05,"Trial 37 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
38,,2020-10-13 21:27:55.700418,,,,,,,,,,,,RUNNING
